Numero;categoria
5656;['ADMINISTRAÇÃO FEDERAL', 'PESSOAL']
5657;['AERONAUTICA', 'ORGANIZAÇÃO ADMINISTRATIVA']
5647;['ATO INTERNACIONAL']
5654;['ATO INTERNACIONAL']
5651;['ATO INTERNACIONAL']
5655;['UNIÃO FEDERAL', 'ORÇAMENTO']
5649;['TRIBUTOS']
5653;['TRIBUTOS']
5652;['TRIBUTOS']
5648;['POLITICA CULTURAL']
5650;['PESCA', 'SUBVENÇÃO']
5645;['POLITICA SOCIAL']
5644;['ADMINISTRAÇÃO FEDERAL', 'SISTEMA TRIBUTARIO']
5646;['ATO INTERNACIONAL']
5643;['ENSINO SUPERIOR']
5642;['ENSINO SUPERIOR']
5641;['TRIBUTOS']
5638;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
5637;['ATO INTERNACIONAL']
5635;['ADMINISTRAÇÃO FEDERAL']
5639;['ATO INTERNACIONAL']
5640;['ATO INTERNACIONAL']
5636;['EMPRESA ESTATAL', 'GASTOS PUBLICOS']
5628;['TRIBUTOS']
5626;['EDUCAÇÃO']
5634;['DIREITO AUTORAL']
5631;['ATO INTERNACIONAL']
5633;['REPRESENTAÇÃO EXTERNA']
5632;['REPRESENTAÇÃO EXTERNA']
5627;['EXECUTIVO', 'PESSOAL']
5630;['TRIBUTOS']
5625;['ATO INTERNACIONAL']
5629;['TRIBUTOS']
5624;['TRIBUTOS']
5622;['LEI DE DIRETRIZES E BASES DA EDUCAÇÃO NACIONAL']
5623;['ATIVIDADE PORTUARIA']
5621;['TRANSPORTE']
5620;['INDULTO']
5619;['ATO INTERNACIONAL', 'DIREITOS HUMANOS']
5613;['UNIÃO FEDERAL', 'ORÇAMENTO']
5617;['EXECUTIVO', 'PESSOAL']
5616;['DEPARTAMENTO NACIONAL DE PRODUÇÃO MINERAL  (DNPM)', 'PESSOAL']
5614;['LEGISLAÇÃO PREVIDENCIARIA', 'PREVIDENCIA SOCIAL']
5615;['REPRESENTAÇÃO EXTERNA']
5618;['TRIBUTOS']
5611;['ATO INTERNACIONAL', 'DIREITOS HUMANOS']
5612;['SEGURIDADE SOCIAL']
5610;['UNIÃO FEDERAL', 'ORÇAMENTO']
5609;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
5608;['UNIÃO FEDERAL', 'ORÇAMENTO']
5606;['EMPRESA ESTATAL', 'GASTOS PUBLICOS']
5604;['REPRESENTAÇÃO EXTERNA']
5602;['TRIBUTOS']
5603;['REPRESENTAÇÃO EXTERNA']
5607;['INSTITUIÇÃO FINANCEIRA OFICIAL', 'ESTATUTO']
5605;['BANDEIRA NACIONAL']
5601;['ATO INTERNACIONAL']
5600;['EMPRESA ESTATAL', 'GASTOS PUBLICOS']
5598;['LEGISLAÇÃO TRABALHISTA', 'ATIVIDADE PROFISSIONAL']
5599;['REPRESENTAÇÃO EXTERNA']
5596;['ATO INTERNACIONAL']
5597;['POLITICA ENERGETICA']
5594;['ADMINISTRAÇÃO FEDERAL', 'PESSOAL']
5595;['ATO INTERNACIONAL']
5593;['POLITICA SOCIO ECONOMICA', 'DESENVOLVIMENTO REGIONAL']
5592;['POLITICA SOCIO ECONOMICA', 'DESENVOLVIMENTO REGIONAL']
5591;['DESENVOLVIMENTO CIENTIFICO', 'GENETICA']
5589;['REPRESENTAÇÃO EXTERNA']
5590;['REPRESENTAÇÃO EXTERNA']
