Numero;categoria
8386;['POLITICA CULTURAL', 'CINEMA']
8385;['EDUCAÇÃO']
8387;['POLITICA ENERGETICA']
8383;['ORÇAMENTO', 'EMPRESA ESTATAL']
8382;['ORÇAMENTO', 'EMPRESA ESTATAL']
8384;['AGRICULTURA']
8381;['POLITICA SALARIAL']
8380;['SISTEMA PENITENCIARIO']
8378;['EXECUTIVO', 'PESSOAL']
8377;['EXECUTIVO', 'MILITAR']
8379;['POLITICA ENERGETICA']
8376;['EXECUTIVO', 'IMOVEL']
8375;['POLITICA AGRICOLA']
8373;['TRIBUTOS', 'POLITICAS PUBLICAS']
8374;['PASSAPORTE', 'MIGRAÇÃO']
8371;['ATO INTERNACIONAL']
8372;['TRANSPORTE FERROVIARIO', 'EXECUTIVO', 'IMOVEL']
8370;['POLITICA ENERGETICA']
8369;['EXECUTIVO', 'PESSOAL']
8368;['POLITICA SOCIAL', 'SAUDE PUBLICA']
8367;['UNIÃO FEDERAL', 'ORÇAMENTO']
8366;['ATO INTERNACIONAL']
8365;['ADMINISTRAÇÃO FEDERAL', 'PESSOAL']
8362;['ATO INTERNACIONAL']
8360;['ATO INTERNACIONAL']
8361;['ATO INTERNACIONAL']
8364;['MICROEMPRESA', 'PEQUENA EMPRESA']
8363;['ATO INTERNACIONAL']
8338;['ATO INTERNACIONAL']
8347;['ATO INTERNACIONAL']
8348;['ATO INTERNACIONAL']
8339;['ATO INTERNACIONAL']
8350;['ATO INTERNACIONAL']
8346;['ATO INTERNACIONAL']
8351;['ATO INTERNACIONAL']
8349;['ATO INTERNACIONAL']
8358;['ATO INTERNACIONAL']
8345;['ATO INTERNACIONAL']
8340;['ATO INTERNACIONAL']
8356;['ATO INTERNACIONAL']
8343;['ATO INTERNACIONAL']
8357;['ATO INTERNACIONAL']
8352;['ATO INTERNACIONAL']
8342;['ATO INTERNACIONAL']
8341;['ATO INTERNACIONAL']
8355;['ATO INTERNACIONAL']
8344;['ATO INTERNACIONAL']
8353;['ATO INTERNACIONAL']
8359;['REPRESENTAÇÃO EXTERNA']
8354;['ATO INTERNACIONAL']
8331;['ATO INTERNACIONAL']
8335;['ATO INTERNACIONAL']
8333;['ATO INTERNACIONAL']
8336;['ATO INTERNACIONAL']
8337;['ATO INTERNACIONAL']
8332;['ATO INTERNACIONAL']
8334;['ATO INTERNACIONAL']
8330;['ATO INTERNACIONAL']
8329;['POLITICA ECONOMICO FINANCEIRA']
8328;['FORÇAS ARMADAS', 'PESSOAL MILITAR']
8327;['ATO INTERNACIONAL']
8326;['ADMINISTRAÇÃO FEDERAL']
8325;['TRIBUTOS']
8323;['ATO INTERNACIONAL']
8324;['ATO INTERNACIONAL']
8322;['ATO INTERNACIONAL']
8321;['ADMINISTRAÇÃO FEDERAL', 'PESSOAL']
8320;['UNIÃO FEDERAL', 'ORÇAMENTO']
8317;['ATO INTERNACIONAL']
8314;['ATO INTERNACIONAL']
8319;['EXECUÇÃO', 'ORGANIZAÇÃO ADMINISTRATIVA', 'PESSOAL']
8318;['ATO INTERNACIONAL']
8313;['ATO INTERNACIONAL']
8316;['ATO INTERNACIONAL']
8315;['ATO INTERNACIONAL']
8312;['ATO INTERNACIONAL']
8311;['ATO INTERNACIONAL']
8307;['ATO INTERNACIONAL']
8305;['ATO INTERNACIONAL']
8308;['ATO INTERNACIONAL']
8306;['ATO INTERNACIONAL']
8310;['ATO INTERNACIONAL']
8309;['ATO INTERNACIONAL']
8304;['POLITICA INDUSTRIAL', 'TRIBUTOS']
8302;['FAZENDA NACIONAL', 'SECRETARIA DA RECEITA FEDERAL']
8303;['RECEITA FEDERAL DO BRASIL', 'TRIBUTOS', 'SIGILO BANCARIO']
8301;['SEGUROS']
8300;['ATO INTERNACIONAL']
8298;['FORÇAS ARMADAS', 'ORGANIZAÇÃO ADMINISTRATIVA']
8299;['POLITICA ENERGETICA']
8297;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA', 'PESSOAL']
8296;['TRIBUTOS']
8295;['DIVIDA EXTERNA']
8294;['POLITICA INDUSTRIAL', 'TRIBUTOS']
8293;['POLITICA SOCIAL', 'PRODUTO AGROPECUARIO']
8292;['PREVIDENCIA SOCIAL']
8290;['UNIÃO FEDERAL', 'ORÇAMENTO']
8291;['EXECUTIVO', 'PESSOAL']
8289;['ATO INTERNACIONAL']
8288;['ATO INTERNACIONAL']
8287;['ATO INTERNACIONAL']
8286;['POLITICA ECONOMICO FINANCEIRA', 'PROGRAMA DE DESENVOLVIMENTO']
8284;['EXECUTIVO', 'PESSOAL']
8282;['EXECUTIVO', 'PESSOAL']
8283;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
8285;['EXECUTIVO', 'PESSOAL']
8281;['POLITICA CULTURAL']
8280;['TRIBUTOS']
8279;['TRIBUTOS']
8275;['DESENVOLVIMENTO REGIONAL']
8277;['DESENVOLVIMENTO REGIONAL']
8278;['ATO INTERNACIONAL']
8274;['EXECUTIVO', 'PESSOAL']
8276;['DESENVOLVIMENTO REGIONAL']
8271;['TRIBUTOS']
8272;['POLITICA ENERGETICA']
8270;['REGISTRO CIVIL']
8273;['POLITICA FUNDIARIA', 'EXECUTIVO']
8269;['POLITICA CIENTIFICA E TECNOLOGICA']
8267;['POLITICA ECONOMICO FINANCEIRA', 'PROGRAMA DE DESENVOLVIMENTO']
8268;['LEI DE DIRETRIZES E BASES DA EDUCAÇÃO NACIONAL']
8266;['COMERCIO EXTERIOR']
8265;['CODIGO BRASILEIRO DE AERONAUTICA', 'AVIAÇÃO']
8264;['CODIGO DE DEFESA DO CONSUMIDOR']
8263;['POLITICA CAMBIAL', 'TRIBUTOS']
8262;['PROPAGANDA COMERCIAL', 'CODIGO DE DEFESA DO CONSUMIDOR']
8261;['UNIÃO FEDERAL', 'ORÇAMENTO']
8258;['ADMINISTRAÇÃO INDIRETA', 'EMPRESA PUBLICA']
8260;['ENSINO', 'PESSOAL']
