Id,Label,timeset,indegree,outdegree,degree,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
DEC 10.093/2019,DEC 10.093/2019,,0,1,1,356,1,1,1,0
DEC 8.642/2016,DEC 8.642/2016,,6,0,6,356,0,0,0,0
DEC 10.094/2019,DEC 10.094/2019,,0,1,1,144,2,0.6,0.666667,0
DEC 7.612/2011,DEC 7.612/2011,,2,2,4,144,1,1,1,0
DEC 10.086/2019,DEC 10.086/2019,,0,135,135,0,21,0.242086,0.417237,0
DEC 3.345/2000,DEC 3.345/2000,,2,0,2,363,0,0,0,0
DEC 3.503/2000,DEC 3.503/2000,,1,0,1,0,0,0,0,0
DEC 3.613/2000,DEC 3.613/2000,,1,0,1,0,0,0,0,0
DEC 3.714/2001,DEC 3.714/2001,,1,0,1,0,0,0,0,0
DEC 3.743/2001,DEC 3.743/2001,,1,0,1,0,0,0,0,0
DEC 3.779/2001,DEC 3.779/2001,,1,0,1,0,0,0,0,0
DEC 4.166/2002,DEC 4.166/2002,,1,0,1,0,0,0,0,0
DEC 4.273/2002,DEC 4.273/2002,,1,0,1,0,0,0,0,0
DEC 4.303/2002,DEC 4.303/2002,,1,0,1,0,0,0,0,0
DEC 4.330/2002,DEC 4.330/2002,,1,0,1,0,0,0,0,0
DEC 4.657/2003,DEC 4.657/2003,,1,0,1,0,0,0,0,0
DEC 4.767/2003,DEC 4.767/2003,,2,1,3,131,2,0.6,0.666667,0
DEC 4.848/2003,DEC 4.848/2003,,1,0,1,0,0,0,0,0
DEC 4.883/2003,DEC 4.883/2003,,1,0,1,0,0,0,0,0
DEC 4.976/2004,DEC 4.976/2004,,1,0,1,0,0,0,0,0
DEC 5.024/2004,DEC 5.024/2004,,1,1,2,8,1,1,1,0
DEC 5.043/2004,DEC 5.043/2004,,1,1,2,0,1,1,1,0
DEC 5.101/2004,DEC 5.101/2004,,2,1,3,0,1,1,1,0.000001
DEC 5.102/2004,DEC 5.102/2004,,1,0,1,0,0,0,0,0
DEC 5.187/2004,DEC 5.187/2004,,1,0,1,0,0,0,0,0
DEC 5.345/2005,DEC 5.345/2005,,1,2,3,0,1,1,1,0
DEC 5.387/2005,DEC 5.387/2005,,1,1,2,177,1,1,1,0
DEC 5.393/2005,DEC 5.393/2005,,1,1,2,54,1,1,1,0
DEC 5.439/2005,DEC 5.439/2005,,1,1,2,85,1,1,1,0
DEC 5.546/2005,DEC 5.546/2005,,1,0,1,0,0,0,0,0
DEC 5.581/2005,DEC 5.581/2005,,1,1,2,144,1,1,1,0
DEC 5.634/2005,DEC 5.634/2005,,1,1,2,177,1,1,1,0
DEC 5.673/2006,DEC 5.673/2006,,1,0,1,0,0,0,0,0
DEC 5.675/2006,DEC 5.675/2006,,1,0,1,0,0,0,0,0
DEC 5.840/2006,DEC 5.840/2006,,1,3,4,0,3,0.5625,0.648148,0
