,Word,Qtd_total,Qtd_interdocumental,stopword
0,,289627,5294,0
1,art,63400,5294,1
2,decretar,41258,5294,1
3,n,37251,5112,1
4,ser,35473,3905,1
5,pelar,32424,3449,1
6,parir,30167,3933,0
7,repúblico,22463,5294,1
8,1,19733,5285,0
9,2,16973,5272,0
10,ir,15907,3421,1
11,i,15256,2788,0
12,dar,14160,2640,1
13,ministério,14088,2327,0
14,lei,13269,2920,0
15,suar,13261,5248,0
16,nacional,12717,2893,1
17,dispor,12053,4144,1
18,3,11512,4097,0
19,entrar,11064,5280,0
20,poder,10840,2521,0
21,iv,10794,4708,0
22,caput,10755,3114,1
23,incisar,10334,4430,1
24,público,10293,1771,0
25,estar,9777,2398,1
26,tratar,9681,2447,1
27,iii,9508,2228,0
28,órgão,9488,1692,0
29,ter,9201,3325,1
30,datar,8890,5213,0
31,sobrar,8303,3223,1
32,4,8017,2980,0
33,federal,7695,1787,1
34,presidente,7524,5290,1
35,dever,7318,1866,0
36,ficar,7262,3440,1
37,usar,7261,5290,0
38,cargo,7155,1568,0
39,publicação,7127,5100,1
40,gestão,6853,1574,0
41,atribuição,6802,5283,0
42,vigor,6771,5263,1
43,único,6644,2315,0
44,parágrafo,6490,2490,1
45,constituição,6440,5288,1
46,serviço,6357,1347,0
47,vir,6336,2998,1
48,secretariar,6144,1567,0
49,entidade,6133,1194,0
50,referir,6125,2283,0
51,formar,5998,2066,1
52,brasília,5941,5232,1
53,5,5927,2581,0
54,desenvolvimento,5855,1235,0
55,dezembro,5771,2552,0
56,brasil,5741,1544,1
57,prazo,5726,1689,0
58,seguinte,5723,2781,1
59,comissão,5618,1238,0
60,outro,5614,2101,0
61,acordar,5483,1432,0
62,conferir,5472,5293,1
63,84,5344,5291,1
64,anexar,5322,1932,1
65,comer,5320,1826,0
66,redação,5273,1079,0
67,independência,5266,5246,1
68,considerar,5238,2040,0
69,recurso,5207,1096,0
70,6,5152,2401,0
71,revogar,5064,1834,0
72,programar,4975,1040,0
73,conselho,4965,1070,0
74,mear,4926,1956,0
75,nr,4833,1437,1
76,v,4794,1554,0
77,previsto,4792,1481,0
78,aprovar,4781,2490,0
79,social,4700,1168,0
80,2019,4616,754,0
81,incluir,4456,782,0
82,casar,4384,1211,0
83,dia,4342,1458,0
84,informação,4230,911,0
85,atividades,4215,1040,0
86,termo,4185,1776,0
87,contar,4101,1457,0
88,união,4063,1423,0
89,pessoa,3979,657,0
90,sistema,3944,1001,0
91,produto,3939,514,0
92,governar,3922,1111,1
93,administração,3880,1173,1
94,técnico,3831,1048,0
95,7,3773,1922,0
96,direito,3759,968,0
97,visto,3744,3046,0
98,área,3709,787,0
99,ministrar,3708,1404,0
100,federativo,3636,1045,0
101,observar,3636,1264,0
102,financeiro,3615,991,0
103,avaliação,3601,575,0
104,9,3600,1836,0
105,planejamento,3600,1335,0
106,8,3555,1828,0
107,empresar,3544,731,0
108,superior,3511,1385,0
109,10,3510,1636,0
110,respectivo,3496,1465,0
111,inciso,3493,2045,1
112,execução,3490,1444,0
113,representante,3482,756,0
114,função,3452,1126,0
115,partir,3433,1272,0
116,artigo,3422,1504,0
117,exercício,3316,1262,0
118,bem,3316,945,0
119,segurança,3302,667,0
120,ações,3284,857,0
121,atar,3281,1087,0
122,comitê,3240,509,0
123,alínea,3196,2468,1
124,presidência,3194,801,0
125,político,3129,745,0
126,b,3076,1078,0
127,valor,3049,716,0
128,realizar,3031,995,0
129,unidade,3022,795,0
130,cada,3007,1027,0
131,brasileiro,2998,1083,0
132,maio,2996,1784,0
133,estabelecido,2984,1050,0
134,civil,2946,903,0
135,membro,2925,685,0
136,junho,2921,1669,0
137,ano,2909,873,0
138,especial,2890,907,0
139,fim,2883,982,0
140,dois,2868,1180,0
141,janeiro,2868,1499,0
142,relação,2855,1229,0
143,jurídico,2853,875,0
144,vigência,2846,714,1
145,cento,2842,913,0
146,orçamentar,2789,1132,0
147,julho,2761,1509,0
148,qualquer,2757,1031,0
149,11,2753,1524,0
150,necessário,2713,1168,0
151,estabelecer,2686,1174,0
152,neste,2679,996,0
153,novembro,2660,1536,0
154,vii,2638,1109,0
155,registrar,2634,540,0
156,definir,2633,954,0
157,exterior,2626,686,0
158,educação,2620,471,0
159,agostar,2619,1660,0
160,estruturar,2608,1018,0
161,relativo,2583,1020,0
162,âmbito,2575,1118,0
163,complementar,2567,1379,0
164,passar,2562,1745,0
165,12,2557,1567,0
166,indicar,2526,1240,0
167,setembro,2503,1490,0
168,trabalhar,2500,620,0
169,instituição,2492,640,0
170,operação,2455,589,0
171,titular,2429,1122,0
172,2009,2419,823,0
173,outubro,2412,1499,0
174,servidor,2392,483,0
175,medir,2390,984,0
176,condição,2382,808,0
177,regulamentar,2370,1181,0
178,conformar,2353,1023,0
179,administrativo,2347,935,0
180,2003,2333,1014,0
181,hipótese,2332,713,0
182,procedimento,2327,751,0
183,2004,2300,899,0
184,processar,2288,745,0
185,saudar,2271,478,0
186,competência,2247,1013,0
187,vigorar,2245,1689,0
188,mediante,2244,1052,0
189,2007,2218,765,0
190,alteração,2203,1280,0
191,resultar,2185,1167,0
192,planar,2174,768,0
193,13,2160,1285,0
194,2002,2147,893,0
195,mínimo,2134,735,0
196,c,2120,888,0
197,atos,2119,1256,0
198,2016,2116,640,0
199,defeso,2115,615,0
200,pagamento,2115,618,0
201,março,2110,1318,0
202,tecnologia,2104,547,0
203,2008,2104,727,0
204,inclusive,2098,1133,0
205,contratar,2094,453,0
206,15,2077,1155,0
207,2001,2067,909,0
208,14,2067,1179,0
209,destinar,2066,806,0
210,aplicação,2055,739,0
211,econômica,2055,598,0
212,fevereiro,2051,1262,0
213,pontar,2049,107,0
214,viii,2045,1013,0
215,2006,2031,808,0
216,2017,2027,573,0
217,abril,2021,1220,0
218,critério,2019,765,0
219,projetos,2011,538,0
220,desempenhar,2005,406,0
221,cincar,2003,923,0
222,crédito,1997,522,0
